Name of Incident,Year,Country,Type of Event,Impact,Affected Population,Important Person/Group Responsible,Outcome
Introduction of Television,1999,Bhutan,Cultural Change,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck,Positive
First Democratic Elections,2008,Bhutan,Political Development,Transition to a constitutional monarchy with the first democratic elections.,Bhutanese citizens,Jigme Khesar Namgyel Wangchuck,Positive
Independence from the United Kingdom,1957,Malaysia,Independence,"End of British colonial rule, establishment of the Federation of Malaya.",Malaysian citizens,Tunku Abdul Rahman,Positive
Formation of Malaysia,1963,Malaysia,State Formation,"Merger of Malaya, Sabah, Sarawak, and Singapore into Malaysia; Singapore later exits in 1965.","Malaysian, Singaporean citizens",Tunku Abdul Rahman,Positive
1969 Race Riots,1969,Malaysia,Civil Unrest,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.,Malaysian citizens,Unknown,Negative
New Economic Policy Introduced,1971,Malaysia,Economic Policy,Aimed at eradicating poverty and restructuring societal economic imbalance.,Malaysian citizens,Abdul Razak Hussein,Mixed
Green Movement,2009,Iran,Political Movement,"Protests over the disputed presidential election results, calling for political reform.",Iranian citizens,Opposition supporters,Negative
Gross National Happiness Introduced,1972,Bhutan,Social Policy,Concept of measuring and promoting happiness as a goal of governance.,Bhutanese citizens,King Jigme Singye Wangchuck,Positive
1MDB Scandal,2015,Malaysia,Corruption Scandal,A major corruption scandal involving the state fund 1MDB and leading political figures.,Malaysian citizens,Najib Razak,Negative
Release of Political Prisoners,2016,Uzbekistan,Human Rights Improvement,"Following Karimov's death, numerous political prisoners were released as part of reforms.",Uzbek political prisoners,Shavkat Mirziyoyev,Positive
Malaysia Airlines Flight MH370 Disappearance,2014,Malaysia,Aviation,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777Unknown200ER,Negative
Japan Airlines Flight 123,1985,Japan,Aviation,The world's deadliest singleUnknownaircraft accident with 520 fatalities.,520 passengers & crew,Boeing 747SR,Negative
China Airlines Flight 611,2002,Taiwan,Aviation,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative
Korean Air Flight 801,1997,South Korea,Aviation,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747Unknown300,Negative
AirAsia Flight QZ8501,2014,Indonesia,Aviation,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320Unknown216,Negative
Pakistan International Airlines Flight 268,1992,Pakistan,Aviation,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4Unknown203,Negative
Philippine Airlines Flight 434,1994,Philippines,Aviation,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747Unknown283B,Negative
OneUnknownTwoUnknownGO Airlines Flight 269,2007,Thailand,Aviation,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative
MV Sewol Ferry Sinking,2014,South Korea,Maritime,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative
Fukushima Daiichi Nuclear Disaster,2011,Japan,Nuclear Accident,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative
Wenzhou Train Collision,2011,China,Rail,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative
MV Doña Paz Collision,1987,Philippines,Maritime,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths.","Over 4,300 passengers & crew","MV Doña Paz, MT Vector",Negative
Nedelin Catastrophe,1960,Russia,Spacecraft Accident,"Explosion during missile test, killing over 100 people, including top missile program personnel.",Military and technical staff,RUnknown16 ballistic missile,Negative
Sidoarjo Mud Flow,2006,Indonesia,Industrial Accident,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative
Women's Suffrage (19th Amendment),1920,United States of America,Legislative,Granted women the right to vote.,Women across the USA,Suffragists,Positive
Stock Market Crash of 1929,1929,United States of America,Economic,"Led to the Great Depression, impacting global economy.",Global population,Unknown,Negative
Moon Landing (Apollo 11),1969,United States of America,Space Exploration,First successful manned mission to the Moon.,Global population,"NASA, Neil Armstrong, Buzz Aldrin",Positive
Civil Rights Act of 1964,1964,United States of America,Legislative,"Prohibited discrimination based on race, color, religion, sex, or national origin.",American citizens,Lyndon B. Johnson,Positive
September 11 Attacks,2001,United States of America,Terrorism,Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative
Brown v. Board of Education,1954,United States of America,Judicial,Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.,African American students,"Supreme Court, Thurgood Marshall",Positive
Vietnam War,1955,United States of America,Military,Controversial conflict that sparked widespread protests and led to significant casualties.,American and Vietnamese,Multiple US Administrations,Negative
Watergate Scandal,1972,United States of America,Political Scandal,Led to the resignation of President Richard Nixon.,American public,"Richard Nixon, Democratic Party",Negative
Challenger Space Shuttle Disaster,1986,United States of America,Space Exploration Disaster,"Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members.","Astronauts, general public",NASA,Negative
Fall of the Berlin Wall,1989,United States of America,International,Symbolized the end of the Cold War and led to German reunification; significant US involvement.,Global population,"Ronald Reagan, Mikhail Gorbachev",Positive
Oklahoma City Bombing,1995,United States of America,Domestic Terrorism,"Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols",Negative
Hurricane Katrina,2005,United States of America,Natural Disaster,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative
Black Lives Matter Movement,2013,United States of America,Social Movement,Movement against violence and systemic racism towards black people.,African American community,"Activists, general public",Positive
Supreme Court Upholds Obamacare,2012,United States of America,Judicial,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive
SameUnknownSex Marriage Legalization,2015,United States of America,Legal,"Supreme Court legalized sameUnknownsex marriage, a landmark decision.","LGBTQ+ community, citizens","Supreme Court, LGBTQ+ activists",Positive
Hurricane Sandy,2012,United States of America,Natural Disaster,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative
Affordable Care Act (Obamacare) Implementation,2010,United States of America,Healthcare,Implementation of the Affordable Care Act aimed at improving healthcare access.,American citizens,"Barack Obama, Healthcare professionals",Positive
March on Washington for Jobs and Freedom,1963,United States of America,Social Movement,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech.","Civil rights activists, citizens","Martin Luther King Jr., Activists",Positive
Assassination of President John F. Kennedy,1963,United States of America,Political,"Shocked the nation, leading to significant political consequences.",American public,Lee Harvey Oswald (alleged),Negative
Stonewall Riots,1969,United States of America,Social Movement,Marked the beginning of the modern LGBTQ+ rights movement.,LGBTQ+ community,"LGBTQ+ activists, police",Positive
Roe v. Wade Supreme Court Decision,1973,United States of America,Judicial,"Legalized abortion nationwide, sparking ongoing debates.",Women nationwide,Supreme Court,Positive
Tech Boom and DotUnknowncom Bubble,1990,United States of America,Economic,"Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors",Mixed
Enactment of the Patriot Act,2001,United States of America,Legislative,"Expanded surveillance powers postUnknown9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed
Housing Market Crash and Great Recession,2008,United States of America,Economic,"Triggered global financial crisis, leading to widespread economic hardship.","Homeowners, global economy","Financial institutions, government",Negative
SpanishUnknownAmerican War,1898,United States of America,Military,Resulted in U.S. acquiring territories and emerging as a world power.,"Cubans, Filipinos, Americans",William McKinley,Positive
Wright Brothers' First Flight,1903,United States of America,Aviation,Marked the beginning of powered flight and the aviation era.,Global population,Orville and Wilbur Wright,Positive
Completion of the Panama Canal,1914,United States of America,Engineering Achievement,Facilitated maritime trade between Atlantic and Pacific oceans.,Global shipping industry,"Theodore Roosevelt, Engineers",Positive
Entry into World War I,1917,United States of America,Military,"Marked U.S. entry into WWI, significant impact on the war's outcome.","European, American forces",Woodrow Wilson,Mixed
Prohibition Era Begins,1920,United States of America,Legislative,"Nationwide ban on alcohol production, sale, and transport.",American citizens,"US Government, Temperance movements",Negative
Social Security Act,1935,United States of America,Social Welfare Legislation,Established a system of oldUnknownage benefits and unemployment insurance.,"American workers, elderly",Franklin D. Roosevelt,Positive
Attack on Pearl Harbor,1941,United States of America,Military,Prompted U.S. entry into World War II.,"American military, civilians",Imperial Japanese Navy,Negative
Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,1945,United States of America,Military/Science,"Led to the end of World War II, significant ethical and geopolitical implications.","Japanese civilians, global community","U.S. Government, Scientists",Mixed
Marshall Plan Implementation,1948,United States of America,Economic Aid,"U.S. program to aid Europe's recovery postUnknownWWII, strengthened Western alliances.",European nations,George Marshall,Positive
United Nations Charter Ratification,1945,United States of America,International Relations,"Founding of the United Nations, promoting international cooperation and peace.",Global community,"Franklin D. Roosevelt, International Leaders",Positive
Battle of Vimy Ridge,1917,Canada,Military,Marked a turning point in Canadian national pride and military achievement.,Canadian soldiers,Canadian Corps,Positive
Discovery of Insulin,1921,Canada,Medical,"Revolutionized the treatment of diabetes, saving countless lives.",Diabetics worldwide,"Frederick Banting, Charles Best",Positive
Newfoundland Joins Canada,1949,Canada,Political,Newfoundland became the tenth province of Canada.,Newfoundlanders,Joey Smallwood,Positive
Adoption of the Maple Leaf Flag,1965,Canada,Cultural,The maple leaf became the national symbol on Canada's flag.,Canadians,Lester B. Pearson,Positive
Official Languages Act,1969,Canada,Legislative,Recognized English and French as the official languages of Canada.,Canadian citizens,Pierre Elliott Trudeau,Positive
Canada Act 1982 (Patriation of the Constitution),1982,Canada,Legislative,"Gave Canada full sovereignty, including the ability to amend its constitution.",Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive
Oka Crisis,1990,Canada,Social Unrest,"Standoff between Mohawk protesters, Quebec police, and the Canadian army.","Mohawk community, Canadians","Mohawk protestors, Canadian government",Negative
NAFTA Agreement Signed,1992,Canada,Economic,North American Free Trade Agreement altered trade relations with the U.S. and Mexico.,Canadian businesses,Brian Mulroney,Mixed
Apology to Residential School Survivors,2008,Canada,Social Justice,Official apology to Indigenous peoples for the residential school system.,Indigenous communities,Stephen Harper,Positive
Vancouver Winter Olympics,2010,Canada,Sports,"Hosted the Winter Olympics, showcasing Canada on the world stage.","Athletes, global audience",VANOC,Positive
Legalization of SameUnknownSex Marriage,2005,Canada,Legislative,Made Canada the fourth country worldwide to legalize sameUnknownsex marriage.,LGBTQ+ community,Paul Martin,Positive
Murdered and Missing Indigenous Women Inquiry,2015,Canada,Social Justice,National inquiry into the systemic causes of violence against Indigenous women.,Indigenous communities,Justin Trudeau,Ongoing
Fort McMurray Wildfire,2016,Canada,Natural Disaster,"One of Canada's costliest disasters, leading to massive evacuations.",Residents of Fort McMurray,Unknown,Negative
Establishment of Nunavut,1999,Canada,Political,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders",Positive
Quebec Referendum on Sovereignty,1995,Canada,Political,"Referendum on Quebec's independence from Canada, narrowly defeated.",Quebecers,"Jacques Parizeau, Lucien Bouchard",Negative
Charlottetown Accord Referendum,1992,Canada,Political,Proposed constitutional changes defeated in a national referendum.,Canadian citizens,"Brian Mulroney, Provincial Premiers",Negative
Klondike Gold Rush,1896,Canada,Economic,"Attracted thousands of prospectors to the Yukon, significant economic impact.","Prospectors, Indigenous peoples",Unknown,Positive
Halifax Explosion,1917,Canada,Disaster,"One of the world's largest nonUnknownnuclear explosions, devastating Halifax.",Residents of Halifax,Unknown,Negative
Internment of Japanese Canadians,1942,Canada,Civil Rights Violation,"Internment of Japanese Canadians during WWII, violation of civil liberties.",Japanese Canadian community,Canadian Government,Negative
Discovery of Oil in Alberta,1947,Canada,Economic,"Led to Alberta's oil boom, transforming Canada's energy sector.",Canadian economy,Imperial Oil,Positive
Balfour Declaration of 1926,1926,Canada,Political,Recognized Canada and other dominions as autonomous within the British Empire.,Canadians,Imperial Conference of 1926,Positive
Statute of Westminster,1931,Canada,Legislative,Gave Canada legislative independence from the UK.,Canadians,British Parliament,Positive
Conscription Crisis of 1944,1944,Canada,Political,Deepened the divide between English and French Canadians over WWII conscription.,Canadian citizens,William Lyon Mackenzie King,Negative
Discovery of Insulin,1921,Canada,Medical,Revolutionized the treatment of diabetes globally.,Diabetics worldwide,"Frederick Banting, Charles Best",Positive
Joining of Newfoundland,1949,Canada,Political,Newfoundland became Canada's tenth province.,Newfoundlanders,Joey Smallwood,Positive
Creation of the Canadian Flag,1965,Canada,Cultural,Adoption of the red maple leaf flag as the national flag of Canada.,Canadians,Lester B. Pearson,Positive
Official Languages Act,1969,Canada,Legislative,Made English and French the official languages of Canada.,Canadian citizens,Pierre Elliott Trudeau,Positive
Patriation of the Canadian Constitution,1982,Canada,Legislative,Canada gained full sovereignty with the ability to amend its own constitution.,Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive
Establishment of Nunavut,1999,Canada,Political,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government,Positive
Establishment of the Welfare State,1948,United Kingdom,Social Reform,Introduced the National Health Service and social welfare programs,British population,UK Government,Positive
Decolonization Begins,1947,United Kingdom,Political,Began the process of decolonizing the British Empire,Colonial territories,UK Government,Mixed
Suez Crisis,1956,United Kingdom,International Conflict,Marked the decline of Britain's imperial power,UK and Egypt,UK Government,Negative
The Beatles' Rise to Fame,1962,United Kingdom,Cultural,Global cultural impact through music,Worldwide,The Beatles,Positive
Falklands War,1982,United Kingdom,Military,Reasserted British control over the Falklands,UK and Argentina,UK Government,Mixed
Good Friday Agreement,1998,United Kingdom,Peace Process,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments,Positive
Brexit Referendum,2016,United Kingdom,Political,UK voted to leave the European Union,British population,UK Government,Mixed
Women's Suffrage Achieved,1918,United Kingdom,Social Reform,Granted voting rights to women over 30,British women,UK Government,Positive
Battle of Britain,1940,United Kingdom,Military,Key WWII air battle ensuring UK's defense,British population,Winston Churchill,Positive
National Health Service Established,1948,United Kingdom,Social Reform,Creation of publicly funded healthcare system,British population,Clement Attlee,Positive
First Human DNA Sequencing,1997,United Kingdom,Scientific,Significant advancement in genetics and medicine,Global scientific community,Frederick Sanger,Positive
Scottish Devolution Referendum,1997,United Kingdom,Political,Established a devolved Scottish Parliament,Scottish population,UK Government,Positive
London Underground Bombings,2005,United Kingdom,Terrorism,Major terrorist attack on public transport,London's population,Islamist terrorists,Negative
2012 London Olympics,2012,United Kingdom,Sporting Event,Showcased UK on global stage and boosted economy,UK and global visitors,International Olympic Committee,Positive
SameUnknownSex Marriage Legalized,2014,United Kingdom,Legislation,Legalization of sameUnknownsex marriage in England and Wales,British LGBTQ+ community,UK Government,Positive
Scottish Independence Referendum,2014,United Kingdom,Political,Scotland voted to remain in the UK,Scottish population,Scottish Government,Positive
First Television Broadcast by BBC,1936,United Kingdom,Media,Beginning of television broadcasting,British population,BBC,Positive
Signing of the AngloUnknownIrish Treaty,1921,United Kingdom,Political Agreement,Established the Irish Free State and ended the Irish War of Independence,Irish population,UK Government,Positive
Creation of the Commonwealth of Nations,1949,United Kingdom,International Organization,Formation of an intergovernmental organization of former British colonies,Member states,UK Government,Positive
Discovery of Penicillin,1928,United Kingdom,Medical,London,Revolutionized medicine and treatment of bacterial infections,Global population,Positive
British Exit from the European Exchange Rate Mechanism,1992,United Kingdom,Economic,'Black Wednesday' financial crisis,British economy,UK Government,Negative
Queen Elizabeth II's Coronation,1953,United Kingdom,Royal Event,Beginning of the second Elizabethan era,British population,Queen Elizabeth II,Positive
First Cloned Mammal Unknown Dolly the Sheep,1996,United Kingdom,Scientific,Advancement in cloning technology,Scientific community,Ian Wilmut and team,Positive
UK Hosts the G8 Summit,2005,United Kingdom,International Politics,Focus on climate change and Africa's development,Global leaders,UK Government,Positive
Theresa May becomes Prime Minister,2016,United Kingdom,Political,Second female Prime Minister in UK history,British population,Conservative Party,Mixed
Bloody Sunday in Northern Ireland,1972,United Kingdom,Civil Rights,Civil rights protest turned deadly,Northern Irish civilians,British Army,Negative
The Big Freeze of 1963,1963,United Kingdom,Natural Event,One of the coldest winters on record,British population,Weather conditions,Negative
UK Hosts the First Rugby World Cup,1987,United Kingdom,Sporting Event,Inaugural Rugby World Cup,International rugby fans,Rugby Football Union,Positive
Establishment of the Fifth Republic,1958,France,Political Change,New constitution and government structure strengthening presidential power,French population,Charles de Gaulle,Positive
May 1968 Protests,1968,France,Social Movement,Major social upheaval challenging traditional institutions,French students and workers,Student and worker unions,Mixed
SameUnknownSex Marriage Legalized,2013,France,Legislation,Legalization of sameUnknownsex marriage in France,French LGBTQ+ community,French Government,Positive
Dreyfus Affair,1894,France,Political Scandal,Wrongful conviction for treason exposing antiUnknownSemitism and political division,French population,Alfred Dreyfus,Mixed
Women Gain the Right to Vote,1944,France,Legislation,Women's suffrage achieved,French women,Charles de Gaulle's provisional government,Positive
Signing of the Treaty of Rome,1957,France,Political,Foundation of the European Economic Community,European populations,EEC founding members,Positive
May 1968 Student Protests,1968,France,Social Movement,Major social and political upheaval,French students and workers,Student and labor unions,Mixed
Introduction of the Euro,1999,France,Economic,Adoption of the Euro as currency,European Union members,French Government,Positive
France Bans Smoking in Public Places,2007,France,Health,Public health measure to reduce smoking,French population,French Government,Positive
Mussolini's March on Rome,1922,Italy,Coup,Fascist takeover of Italy,Italian population,Benito Mussolini,Negative
Signing of the Lateran Treaty,1929,Italy,Treaty,Establishment of Vatican City as an independent state,Italian population and the Catholic Church,Benito Mussolini and Pope Pius XI,Positive
Italy Enters World War II,1940,Italy,War Declaration,Alliance with Germany and Japan,Italian population,Benito Mussolini,Negative
Fall of Mussolini,1943,Italy,Political Change,Ouster of Benito Mussolini from power,Italian population,King Victor Emmanuel III,Negative
Italian Republic Established,1946,Italy,Referendum,End of the monarchy and establishment of a republic,Italian population,Italian voters,Positive
Signing of the Treaty of Rome,1957,Italy,Treaty,Founding of the European Economic Community,European populations,Italy and other founding members,Positive
Flooding of the Arno River,1966,Italy,Natural Disaster,Severe damage to art and cultural heritage,Florence population,Nature,Negative
Aldo Moro Kidnapping and Murder,1978,Italy,Terrorism,Political turmoil and violence,Italian population,Red Brigades,Negative
Mani Pulite (Clean Hands) Investigation Begins,1992,Italy,Corruption Investigation,Exposure of widespread political corruption,Italian political class,Italian judiciary,Positive
Berlusconi Elected Prime Minister,1994,Italy,Political Change,Shift in Italian politics and media landscape,Italian population,Silvio Berlusconi,Mixed
2006 Winter Olympics in Turin,2006,Italy,Sporting Event,Showcased Italy on a global stage,Global and Italian populations,International Olympic Committee,Positive
L'Aquila Earthquake,2009,Italy,Natural Disaster,Significant loss of life and damage to heritage sites,L'Aquila population,Nature,Negative
Costa Concordia Shipwreck,2012,Italy,Maritime Disaster,Loss of lives and environmental impact,Cruise passengers and crew,Captain Francesco Schettino,Negative
Expo 2015 in Milan,2015,Italy,World Expo,Global cultural and technological exhibition,Global and Italian populations,International Exhibitions Bureau,Positive
Fall of the Spanish Empire,1898,Spain,Colonial,Loss of last major overseas colonies; end of Spanish imperial era,"Spanish Empire, colonies",Spanish Government,Negative
Spanish Civil War,1936,Spain,Civil War,Establishment of Francoist dictatorship,Spanish population,"Francisco Franco, Republican Government",Negative
Transition to Democracy,1975,Spain,Political Transition,Transition from dictatorship to democracy,Spanish population,Juan Carlos I of Spain,Positive
2004 Madrid Train Bombings,2004,Spain,Terrorism,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative
Entry into the European Union,1986,Spain,Political/Economic Integration,Boosted economic growth and integration into European community,Spanish population,Spanish Government,Positive
SpanishUnknownAmerican War,1898,Spain,Colonial War,Loss of last major overseas colonies,"Spanish Empire, local populations","Spanish Government, US Government",Negative
Francoist Spain,1939,Spain,Dictatorship,Establishment of a dictatorship,Spanish population,Francisco Franco,Negative
Spanish Transition to Democracy,1975,Spain,Political Transition,Transition from dictatorship to democracy,Spanish population,"Adolfo Suárez, Juan Carlos I",Positive
Barcelona Olympics,1992,Spain,International Event,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government",Positive
AntiUnknownterrorism Pact,2000,Spain,Political,Bipartisan effort against ETA terrorism,Spanish population,Spanish political parties,Positive
Financial Crisis Impact,2008,Spain,Economic,"Severe economic downturn, unemployment rise",Spanish population,Global Financial Crisis,Negative
Madrid's Bid for 2020 Olympics,2013,Spain,International Event,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed
Approval of SameUnknownSex Marriage,2005,Spain,Social Policy,Made Spain one of the first countries to legalize sameUnknownsex marriage,"LGBTQ+ community, Spanish population",Spanish Government,Positive
ETA's Permanent Ceasefire,2011,Spain,Peace/Security,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive
Austerity Measures During Crisis,2010,Spain,Economic Policy,"Addressed economic crisis, led to social unrest",Spanish population,"Spanish Government, EU",Negative
Spanish Flu Pandemic,1918,Spain,Health Crisis,One of the deadliest pandemics in human history,Global population,H1N1 influenza virus,Negative
Spanish Constitution of 1978,1978,Spain,Political,Established modern democratic constitution,Spanish population,"Spanish Government, King Juan Carlos I",Positive
2010 FIFA World Cup Victory,2010,South Africa,Sports,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive
Launch of AVE HighUnknownSpeed Train,1992,Spain,Infrastructure,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government,Positive
Law of Historical Memory,2007,Spain,Legislation,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive
Winter War,1939,Finland,Military,Resisted Soviet invasion,Finns,Soviet Union,Mixed
Liberation of Denmark,1945,Denmark,Military,End of German occupation during WWII.,Danes,Allied Forces,Positive
Liberation of Norway,1945,Norway,Military,End of German occupation during WWII.,Norwegians,Allied Forces,Positive
Continuation War,1941,Finland,Military,Fought against the Soviet Union,Soviet Union,Nazi Germany,Mixed
Lapland War,1944,Finland,Military,Finland,German soldiers,Finnish Army,Positive
Norwegian Independence,1905,Norway,Independence,Dissolution of the union with Sweden,Norwegians,Unknown,Positive
Finnish Civil War,1918,Finland,Civil War,Conflict between Reds and Whites,Finns,Unknown,Negative
Amalgamation of Northern and Southern Protectorates,1914,Nigeria,Political,Formation of the modern Nigerian state.,Nigerians,Lord Lugard,Mixed
Mau Mau Uprising,1952,Kenya,Independence Movement,Led to Kenyan independence from British rule.,Kenyans,"Mau Mau fighters, British colonial government",Mixed
Algerian War of Independence,1954,Algeria,War,Led to Algerian independence from France.,Algerians,"FLN, French Government",Positive
Italian Invasion of Libya,1911,Libya,Military Invasion,Beginning of Italian colonial rule.,Libyans,Kingdom of Italy,Negative
Independence from France,1956,Tunisia,Independence,End of French colonial rule.,Tunisians,"Habib Bourguiba, French Government",Positive
Libyan Revolution (1969),1969,Libya,Coup d'état,"Overthrow of the monarchy, Muammar Gaddafi came to power.",Libyans,Muammar Gaddafi,Mixed
Ethiopian Revolution,1974,Ethiopia,Revolution,"Overthrow of Emperor Haile Selassie, start of Derg regime.",Ethiopians,Derg,Negative
Nigerian Civil War,1967,Nigeria,Civil War,"Conflict over the secessionist state of Biafra, massive casualties.",Nigerians,"Yakubu Gowon, Odumegwu Ojukwu",Negative
Sharpeville Massacre,1960,South Africa,Massacre,"AntiUnknownapartheid protest met with police violence, significant deaths.",South Africans,South African Police,Negative
Battle of Algiers,1956,Algeria,Military Engagement,Pivotal conflict in the Algerian War of Independence.,Algerians,"FLN, French paratroopers",Mixed
Independence from Britain,1964,Zambia,Independence,"Gained sovereignty, ending British colonial rule.",Zambians,Kenneth Kaunda,Positive
Independence from France,1960,Senegal,Independence,Gained independence along with the Mali Federation.,Senegalese,Léopold Sédar Senghor,Positive
Independence from France,1960,Mali,Independence,Gained independence as part of the Mali Federation.,Malians,Modibo Keïta,Positive
August Revolution,1983,Burkina Faso,Revolution,"Thomas Sankara came to power, initiating radical reforms.",Burkinabè,Thomas Sankara,Positive
Independence from Britain,1980,Zimbabwe,Independence,Marked the end of Rhodesian rule and the beginning of majority rule.,Zimbabweans,Robert Mugabe,Positive
Egyptian Revolution of 1952,1952,Egypt,Revolution,"Overthrow of the monarchy, establishment of a republic.",Egyptians,Free Officers Movement,Positive
Independence from Britain,1963,Kenya,Independence,"End of British colonial rule, Jomo Kenyatta became president.",Kenyans,Jomo Kenyatta,Positive
Independence from France,1960,Cameroon,Independence,Gained independence from French administration.,Cameroonians,Ahmadou Ahidjo,Positive
Nelson Mandela's Release from Prison,1990,South Africa,Political,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",Positive
Libyan Civil War,2011,Libya,Civil War,Overthrow of Muammar Gaddafi's regime.,Libyans,"NTC, NATO, Gaddafi regime",Mixed
Independence from Britain,1960,Nigeria,Independence,"Gained independence, became a republic in 1963.",Nigerians,Nigerian Independence Movement,Positive
Tunisian Revolution,2010,Tunisia,Revolution,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive
Independence from France,1958,Guinea,Independence,"First French African colony to gain independence, rejecting the French Community.",Guineans,Ahmed Sékou Touré,Positive
Movement for Multiparty Democracy,1991,Zambia,Political,Transition from oneUnknownparty state to multiparty democracy.,Zambians,Frederick Chiluba,Positive
End of Apartheid,1994,South Africa,General Elections,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC",Positive
Eritrean Independence Referendum,1993,Ethiopia,Referendum,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN",Positive
Land Reform Program Begins,2000,Zimbabwe,Land Reform,Controversial redistribution of land from white to black Zimbabweans.,Zimbabweans,Robert Mugabe,Mixed
Algerian Civil War Ends,2002,Algeria,Peace Agreement,End of a decadeUnknownlong civil war.,Algerians,Algerian Government,Positive
Fall of Gaddafi,2011,Libya,Revolution,"Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed
Egyptian Revolution of 2011,2011,Egypt,Revolution,Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed
Coup d'état,2012,Mali,Coup,"Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative
Boko Haram Insurgency Intensifies,2009,Nigeria,Insurgency,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative
Fall of Blaise Compaoré,2014,Burkina Faso,Revolution,"Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive
Abolition of Slavery,1888,Brazil,Legal,End of slavery in Brazil,Slaves in Brazil,Princess Isabel,Positive
Proclamation of the Republic,1889,Brazil,Political,End of the Brazilian Empire and the start of the Republic,Brazilian population,Marshal Deodoro da Fonseca,Positive
Vargas Era Begins,1930,Brazil,Political,Start of Getúlio Vargas' rule,Brazilian population,Getúlio Vargas,Mixed
Military Coup,1964,Brazil,Military Coup,Beginning of military dictatorship lasting until 1985,Brazilian population,Military leaders,Negative
Direct Elections Now Campaign,1984,Brazil,Political Movement,Nationwide protests for direct presidential elections,Brazilian population,Civil society groups,Positive
Real Plan Implementation,1994,Brazil,Economic,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco,Positive
